,Team,FF,FR,FR_TD,Rec_FUM,Rush_FUM,Years
0,Redskins,0,16,0,7,7,2000
1,Buccaneers,0,16,1,7,10,2000
2,Seahawks,0,10,2,3,10,2000
3,49ers,0,8,0,4,7,2000
4,Chargers,0,6,0,1,6,2000
5,Steelers,0,17,2,2,10,2000
6,Cardinals,0,10,1,5,7,2000
7,Eagles,0,12,0,5,10,2000
8,Jets,0,14,0,3,10,2000
9,Giants,0,11,0,3,5,2000
10,Saints,0,15,1,3,5,2000
11,Patriots,0,13,0,1,12,2000
12,Vikings,0,10,0,9,3,2000
13,Dolphins,0,13,2,4,8,2000
14,Raiders,0,16,1,7,17,2000
15,Rams,0,6,1,3,3,2000
16,Chiefs,0,14,0,3,14,2000
17,Jaguars,0,18,0,5,10,2000
18,Colts,0,8,1,3,6,2000
19,Titans,0,13,1,5,12,2000
20,Packers,0,7,0,1,6,2000
21,Lions,0,16,0,5,15,2000
22,Broncos,0,17,2,6,12,2000
23,Cowboys,0,9,0,5,9,2000
24,Browns,0,13,0,3,9,2000
25,Bengals,0,12,0,3,12,2000
26,Bears,0,9,0,6,4,2000
27,Panthers,0,20,0,10,13,2000
28,Bills,0,13,0,3,8,2000
29,Ravens,0,26,0,7,22,2000
30,Redskins,31,11,0,8,12,2001
31,Buccaneers,22,11,0,0,13,2001
32,Seahawks,28,13,1,4,8,2001
33,49ers,24,10,1,2,9,2001
34,Chargers,33,12,2,1,21,2001
35,Steelers,27,12,3,1,12,2001
36,Cardinals,25,6,2,2,12,2001
37,Eagles,38,19,2,4,17,2001
38,Jets,27,19,2,7,14,2001
39,Giants,28,13,1,2,12,2001
40,Saints,28,15,1,6,6,2001
41,Patriots,23,13,0,5,8,2001
42,Vikings,20,9,1,2,11,2001
43,Dolphins,26,11,1,2,8,2001
44,Raiders,18,7,1,3,8,2001
45,Rams,20,13,1,4,9,2001
46,Chiefs,23,13,0,4,7,2001
47,Jaguars,28,12,2,4,9,2001
48,Colts,16,10,1,1,6,2001
49,Titans,19,11,1,4,7,2001
50,Packers,36,19,1,6,10,2001
