,Team,INT,INT_TD,INT_Yds,Lng,Years
0,Redskins,17,0,219,48,2000
1,Buccaneers,25,4,275,37,2000
2,Seahawks,17,3,300,84,2000
3,49ers,13,2,278,70,2000
4,Chargers,16,4,313,75,2000
5,Steelers,17,0,154,33,2000
6,Cardinals,10,0,151,48,2000
7,Eagles,19,2,255,38,2000
8,Jets,21,1,229,43,2000
9,Giants,20,0,149,40,2000
10,Saints,20,4,264,46,2000
11,Patriots,10,0,161,56,2000
12,Vikings,8,0,65,25,2000
13,Dolphins,28,0,311,43,2000
14,Raiders,21,4,323,50,2000
15,Rams,19,0,135,23,2000
16,Chiefs,15,2,198,42,2000
17,Jaguars,12,0,145,39,2000
18,Colts,14,2,125,40,2000
19,Titans,17,4,285,87,2000
20,Packers,21,1,315,47,2000
21,Lions,25,2,340,101,2000
22,Broncos,27,5,343,79,2000
23,Cowboys,16,0,167,46,2000
24,Browns,12,1,68,33,2000
25,Bengals,9,1,107,36,2000
26,Bears,11,4,254,61,2000
27,Panthers,17,2,199,88,2000
28,Bills,16,1,131,45,2000
29,Ravens,23,1,477,98,2000
30,Redskins,23,1,209,67,2001
31,Buccaneers,28,2,419,98,2001
32,Seahawks,14,2,186,55,2001
33,49ers,24,2,330,97,2001
34,Chargers,19,1,162,37,2001
35,Steelers,16,2,270,62,2001
36,Cardinals,17,3,294,61,2001
37,Eagles,14,2,152,50,2001
38,Jets,20,2,390,63,2001
39,Giants,15,1,129,34,2001
40,Saints,15,0,209,40,2001
41,Patriots,22,5,422,78,2001
42,Vikings,8,1,47,27,2001
43,Dolphins,17,5,412,100,2001
44,Raiders,17,2,306,41,2001
45,Rams,21,4,369,93,2001
46,Chiefs,13,1,166,51,2001
47,Jaguars,12,0,83,39,2001
48,Colts,15,1,158,30,2001
49,Titans,13,0,78,36,2001
50,Packers,20,2,344,69,2001
51,Lions,16,3,217,74,2001
52,Broncos,22,1,240,42,2001
53,Cowboys,9,3,191,71,2001
54,Browns,33,4,499,97,2001
55,Bengals,13,1,192,66,2001
56,Bears,20,3,372,67,2001
57,Panthers,24,1,374,49,2001
58,Bills,11,3,139,48,2001
59,Ravens,16,1,195,64,2001
60,Redskins,14,1,173,78,2002
61,Buccaneers,31,4,494,97,2002
62,Seahawks,19,1,245,46,2002
63,49ers,19,1,332,60,2002
64,Chargers,17,1,246,46,2002
65,Steelers,19,1,351,84,2002
66,Cardinals,17,2,186,38,2002
67,Eagles,15,2,193,80,2002
68,Jets,15,0,207,65,2002
69,Giants,11,1,93,32,2002
70,Saints,20,1,211,43,2002
71,Patriots,18,3,277,90,2002
72,Vikings,16,1,191,43,2002
73,Dolphins,21,1,258,62,2002
74,Raiders,21,3,347,98,2002
75,Rams,12,0,74,36,2002
76,Chiefs,18,0,302,50,2002
77,Jaguars,14,0,193,53,2002
78,Colts,10,1,170,53,2002
79,Texans,10,2,188,70,2002
80,Titans,18,3,198,32,2002
81,Packers,24,4,516,89,2002
82,Lions,10,1,173,49,2002
83,Broncos,9,2,107,31,2002
84,Cowboys,19,3,227,85,2002
85,Browns,17,0,148,71,2002
86,Bengals,9,2,187,102,2002
87,Bears,9,0,111,35,2002
88,Panthers,17,1,261,62,2002
89,Bills,10,1,147,42,2002
90,Redskins,17,0,184,44,2003
91,Buccaneers,20,3,229,44,2003
92,Seahawks,16,0,157,33,2003
93,49ers,23,1,389,68,2003
94,Chargers,13,1,157,41,2003
95,Steelers,14,2,215,42,2003
96,Cardinals,13,1,271,70,2003
97,Eagles,13,1,158,34,2003
98,Jets,11,0,155,39,2003
99,Giants,10,2,199,56,2003
100,Saints,14,2,226,73,2003
101,Patriots,29,5,358,65,2003
102,Vikings,28,4,693,80,2003
103,Dolphins,22,2,338,74,2003
104,Raiders,14,2,280,83,2003
105,Rams,24,3,505,74,2003
106,Chiefs,25,3,310,79,2003
107,Jaguars,15,0,78,21,2003
108,Colts,15,2,244,75,2003
109,Texans,14,1,205,95,2003
110,Titans,21,3,312,60,2003
111,Packers,21,2,315,90,2003
112,Lions,15,1,130,48,2003
113,Broncos,9,1,39,16,2003
114,Cowboys,13,2,183,41,2003
115,Browns,15,1,168,75,2003
116,Bengals,14,0,123,31,2003
117,Bears,15,1,191,45,2003
118,Panthers,16,3,238,53,2003
119,Bills,10,2,114,54,2003
120,Redskins,18,1,405,78,2004
121,Buccaneers,16,1,239,75,2004
122,Seahawks,23,3,337,63,2004
123,49ers,9,0,129,31,2004
124,Chargers,23,1,180,40,2004
125,Steelers,19,3,293,41,2004
126,Cardinals,15,1,214,65,2004
127,Eagles,17,2,287,101,2004
128,Jets,19,2,243,66,2004
129,Giants,14,0,113,39,2004
130,Saints,13,0,101,55,2004
131,Patriots,20,1,290,36,2004
132,Vikings,11,1,207,56,2004
133,Dolphins,15,0,92,47,2004
134,Raiders,9,1,221,45,2004
135,Rams,6,0,45,30,2004
136,Chiefs,13,1,173,65,2004
137,Jaguars,16,0,126,37,2004
138,Colts,19,2,252,77,2004
139,Texans,22,2,393,102,2004
140,Titans,18,1,285,44,2004
141,Packers,8,2,165,43,2004
142,Lions,14,1,216,55,2004
143,Broncos,12,2,175,76,2004
144,Cowboys,13,0,109,33,2004
145,Browns,15,1,250,51,2004
146,Bengals,20,4,272,51,2004
147,Bears,17,5,546,71,2004
148,Panthers,26,2,420,97,2004
149,Bills,24,4,333,62,2004
150,Redskins,16,1,176,41,2005
151,Buccaneers,17,0,223,42,2005
152,Seahawks,16,2,315,72,2005
153,49ers,16,3,220,61,2005
154,Chargers,10,2,205,70,2005
155,Steelers,15,0,179,55,2005
156,Cardinals,15,3,285,60,2005
157,Eagles,17,1,195,40,2005
158,Jets,21,2,279,74,2005
159,Giants,17,1,354,71,2005
160,Saints,10,0,182,51,2005
161,Patriots,10,2,85,39,2005
162,Vikings,24,3,392,92,2005
163,Dolphins,14,0,136,37,2005
164,Raiders,5,0,38,33,2005
165,Rams,13,2,364,85,2005
166,Chiefs,16,1,232,57,2005
167,Jaguars,19,2,184,41,2005
168,Colts,18,2,259,36,2005
169,Texans,7,0,46,29,2005
170,Titans,9,2,129,52,2005
171,Packers,10,2,205,95,2005
172,Lions,19,2,308,64,2005
173,Broncos,20,3,379,80,2005
174,Cowboys,15,2,187,58,2005
175,Browns,15,0,130,37,2005
176,Bengals,31,1,260,37,2005
177,Bears,24,4,524,95,2005
178,Panthers,23,2,440,61,2005
179,Bills,17,1,233,46,2005
180,Redskins,6,0,25,25,2006
181,Buccaneers,11,3,226,66,2006
182,Seahawks,12,1,124,37,2006
183,49ers,14,1,178,43,2006
184,Chargers,16,0,140,35,2006
185,Steelers,20,2,272,49,2006
186,Cardinals,16,1,350,99,2006
187,Eagles,19,4,428,102,2006
188,Jets,16,0,56,25,2006
189,Giants,17,2,305,96,2006
190,Saints,11,0,106,54,2006
191,Patriots,22,0,262,70,2006
192,Vikings,21,3,243,47,2006
193,Dolphins,8,2,116,51,2006
194,Raiders,18,2,206,100,2006
195,Rams,17,1,164,38,2006
196,Chiefs,15,0,124,30,2006
197,Jaguars,20,1,280,55,2006
198,Colts,15,0,157,38,2006
199,Texans,11,1,78,21,2006
200,Titans,17,2,282,83,2006
201,Packers,23,4,289,55,2006
202,Lions,12,1,160,88,2006
203,Broncos,17,2,244,70,2006
204,Cowboys,18,3,234,41,2006
205,Browns,18,1,256,57,2006
206,Bengals,19,1,248,52,2006
207,Bears,24,1,279,54,2006
208,Panthers,14,2,115,30,2006
209,Bills,13,2,203,76,2006
210,Redskins,14,2,301,61,2007
211,Buccaneers,16,1,89,29,2007
212,Seahawks,20,1,299,84,2007
213,49ers,12,0,138,62,2007
214,Chargers,30,2,311,70,2007
215,Steelers,11,2,234,51,2007
216,Cardinals,18,6,551,71,2007
217,Eagles,11,0,111,49,2007
218,Jets,15,0,110,36,2007
