,Team,Att,Cmp,Cmp_%,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Years
0,Redskins,462,254,55.0,6.3,2621,12,17,67.4,134,29.0,40,9,76,45,2000
1,Buccaneers,594,339,57.1,5.9,3152,15,25,65.0,180,30.3,32,4,72,55,2000
2,Seahawks,489,309,63.2,8.4,3937,23,17,90.8,185,37.8,53,16,73,27,2000
3,49ers,558,320,57.3,7.5,3915,25,13,86.4,194,34.8,55,10,78,38,2000
4,Chargers,552,326,59.1,6.9,3537,33,16,87.7,195,35.3,36,9,68,39,2000
5,Steelers,521,280,53.7,6.2,3020,13,17,67.6,153,29.4,37,9,79,39,2000
6,Cardinals,459,296,64.5,7.1,3128,19,10,90.2,175,38.1,42,7,65,25,2000
7,Eagles,552,314,56.9,5.9,2990,11,19,66.6,159,28.8,34,4,70,50,2000
8,Jets,517,265,51.3,6.1,2932,17,21,64.3,152,29.4,45,11,75,40,2000
9,Giants,585,327,55.9,6.3,3390,23,20,73.7,181,30.9,46,5,53,44,2000
10,Saints,488,285,58.4,7.1,3071,17,20,74.7,159,32.6,53,8,69,66,2000
11,Patriots,544,321,59.0,6.8,3522,23,10,86.0,184,33.8,42,9,81,29,2000
12,Vikings,584,369,63.2,7.1,3913,23,8,91.6,208,35.6,42,8,52,31,2000
13,Dolphins,530,282,53.2,6.0,2900,13,28,57.5,156,29.4,46,6,59,48,2000
14,Raiders,588,359,61.1,6.8,3698,25,21,80.4,202,34.4,37,7,62,43,2000
15,Rams,534,323,60.5,7.6,3797,32,19,89.5,195,36.5,59,5,62,51,2000
16,Chiefs,549,358,65.2,6.8,3471,25,15,88.6,201,36.6,41,3,47,51,2000
17,Jaguars,458,258,56.3,7.4,3160,23,12,85.8,144,31.4,50,8,77,40,2000
18,Colts,530,317,59.8,6.9,3422,22,14,83.6,177,33.4,52,6,50,42,2000
19,Titans,466,242,51.9,5.9,2423,10,17,62.0,134,28.8,36,6,48,55,2000
20,Packers,557,307,55.1,6.6,3451,28,21,76.7,186,33.4,46,10,78,38,2000
21,Lions,544,311,57.2,6.2,3210,16,25,66.2,159,29.2,32,5,61,28,2000
22,Broncos,574,310,54.0,7.3,3946,26,27,73.1,189,32.9,58,10,83,44,2000
23,Cowboys,458,277,60.5,6.3,2693,20,16,78.7,145,31.7,31,5,68,25,2000
24,Browns,486,262,53.9,7.0,3138,18,12,78.3,169,34.8,49,8,61,42,2000
25,Bengals,538,318,59.1,6.9,3562,26,9,89.4,182,33.8,44,7,77,26,2000
26,Bears,530,332,62.6,6.9,3407,25,11,90.0,172,32.5,45,3,66,36,2000
27,Panthers,552,352,63.8,7.1,3712,19,17,83.6,184,33.3,41,9,62,27,2000
28,Bills,480,283,59.0,6.6,2867,18,16,77.4,153,31.9,38,7,63,42,2000
29,Ravens,528,295,55.9,6.0,2997,11,23,62.5,135,25.6,33,9,67,35,2000
30,Redskins,473,262,55.4,6.6,2977,19,23,68.8,149,31.5,42,7,64,25,2001
31,Buccaneers,493,273,55.4,6.5,2951,20,28,65.3,156,31.6,43,6,67,42,2001
32,Seahawks,563,339,60.2,6.6,3485,20,14,81.4,186,33.0,43,6,65,38,2001
33,49ers,567,332,58.6,6.4,3383,18,24,70.3,179,31.6,44,7,63,32,2001
34,Chargers,535,317,59.3,6.8,3400,24,19,79.8,166,31.0,44,10,80,41,2001
35,Steelers,525,295,56.2,6.3,2942,19,16,74.5,160,30.5,40,6,80,55,2001
36,Cardinals,556,337,60.6,6.7,3598,26,17,83.4,179,32.2,46,9,79,19,2001
37,Eagles,517,288,55.7,6.1,2864,13,14,71.0,150,29.0,40,5,76,45,2001
38,Jets,516,313,60.7,6.1,2999,14,20,71.1,155,30.0,33,6,70,33,2001
39,Giants,521,298,57.2,7.2,3430,25,15,83.7,161,30.9,57,13,76,46,2001
40,Saints,452,278,61.5,8.1,3355,30,15,95.5,169,37.4,61,12,86,53,2001
