,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Years
0,Redskins,561,343,61.1,6.9,3892,18,21,77,185,33,43,10,77,32,244,2000
1,Buccaneers,433,237,54.7,6.5,2824,18,13,76.2,144,33.3,38,5,75,38,241,2000
2,Seahawks,507,308,60.7,6.3,3198,21,21,75.5,168,33.1,26,7,71,46,238,2000
3,49ers,583,366,62.8,7.5,4400,32,10,97,211,36.2,61,9,69,25,161,2000
4,Chargers,578,311,53.8,6.1,3540,19,30,61.8,156,27,41,9,83,53,302,2000
5,Steelers,439,217,49.4,6.2,2738,12,10,68.9,128,29.2,37,3,77,43,220,2000
6,Cardinals,554,316,57,6.3,3478,16,24,67.4,156,28.2,41,11,70,35,228,2000
7,Eagles,575,331,57.6,5.9,3386,21,15,75.9,182,31.7,46,5,70,45,262,2000
8,Jets,637,352,55.3,6.3,4023,23,29,67.5,192,30.1,50,8,63,20,99,2000
9,Giants,529,311,58.8,6.8,3610,22,13,83.1,195,36.9,46,7,59,28,243,2000
10,Saints,497,298,60,7.2,3573,22,15,84.2,169,34,42,8,53,39,244,2000
11,Patriots,565,328,58.1,6.1,3461,18,15,75.5,172,30.4,35,5,59,48,280,2000
12,Vikings,495,307,62,8.1,4019,33,18,94.7,193,39,57,13,78,35,187,2000
13,Dolphins,421,243,57.7,6.5,2720,15,17,72.2,122,29,32,8,61,28,153,2000
14,Raiders,475,284,59.8,7.2,3430,28,11,92,177,37.3,42,8,84,28,124,2000
15,Rams,587,380,64.7,9.4,5492,37,23,99.7,247,42.1,79,21,85,44,260,2000
16,Chiefs,582,342,58.8,7.6,4408,29,15,88.5,207,35.6,59,8,81,34,259,2000
17,Jaguars,545,333,61.1,7.2,3947,22,15,85.2,193,35.4,42,11,67,54,289,2000
18,Colts,571,357,62.5,7.7,4413,33,15,94.7,213,37.3,51,8,78,20,131,2000
19,Titans,462,286,61.9,7.4,3430,18,16,83.2,167,36.1,41,6,67,27,164,2000
20,Packers,600,348,58,6.5,3916,21,16,78.2,197,32.8,43,7,67,34,238,2000
21,Lions,503,277,55.1,5.9,2992,14,19,66.3,143,28.4,35,4,59,53,317,2000
22,Broncos,569,354,62.2,7.8,4464,28,12,94.2,223,39.2,65,10,61,30,221,2000
23,Cowboys,445,255,57.3,6.2,2771,14,21,66.6,128,28.8,33,6,76,35,249,2000
24,Browns,483,278,57.6,5.6,2728,9,19,63.4,110,22.8,25,3,79,40,283,2000
25,Bengals,454,207,45.6,4.9,2219,6,14,52,109,24,26,1,46,52,273,2000
26,Bears,542,304,56.1,5.5,3005,12,16,67,143,26.4,29,6,68,34,200,2000
27,Panthers,566,340,60.1,6.8,3850,19,19,77.7,201,35.5,47,2,54,69,382,2000
28,Bills,546,312,57.1,7.2,3936,20,10,84.3,174,31.9,59,9,74,59,360,2000
29,Ravens,504,287,56.9,6.2,3102,20,19,72.7,156,31,37,8,59,43,287,2000
30,Redskins,432,235,54.4,6.3,2716,13,13,71.1,122,28.2,31,6,85,38,229,2001
31,Buccaneers,592,362,61.1,6.1,3621,13,12,77.4,189,31.9,36,2,47,47,298,2001
32,Seahawks,462,258,55.8,6.8,3164,15,12,77.2,140,30.3,45,12,64,49,328,2001
33,49ers,506,318,62.8,7,3559,32,12,95,184,36.4,41,10,61,26,114,2001
34,Chargers,548,309,56.4,6.7,3685,16,18,73.1,177,32.3,47,5,78,27,180,2001
35,Steelers,454,274,60.4,7.3,3295,16,12,83.4,150,33,49,8,90,31,182,2001
36,Cardinals,526,304,57.8,6.9,3653,18,14,79.5,177,33.7,52,11,68,29,204,2001
37,Eagles,522,300,57.5,6.6,3427,27,14,83.4,146,28,46,9,64,40,282,2001
38,Jets,464,272,58.6,6.2,2871,17,14,76.4,151,32.5,39,1,40,19,130,2001
39,Giants,568,327,57.6,6.6,3764,19,16,77.1,189,33.3,52,7,76,36,206,2001
40,Saints,562,313,55.7,6.8,3844,27,22,76.7,184,32.7,55,13,63,50,330,2001
41,Patriots,482,306,63.5,6.9,3326,21,15,85.3,163,33.8,38,8,91,46,237,2001
42,Vikings,555,335,60.4,6.9,3854,23,23,77.9,179,32.3,46,10,80,47,278,2001
43,Dolphins,453,275,60.7,7.4,3335,20,19,80.6,154,34,42,7,74,27,178,2001
44,Raiders,553,364,65.8,7,3862,27,9,95.5,195,35.3,45,5,49,27,155,2001
45,Rams,551,379,68.8,8.9,4903,37,22,102.2,236,42.8,82,12,65,40,240,2001
46,Chiefs,528,300,56.8,7.3,3863,17,24,71.7,178,33.7,53,13,67,39,198,2001
47,Jaguars,534,321,60.1,6.9,3670,20,14,82.4,181,33.9,43,3,45,63,430,2001
48,Colts,557,349,62.7,7.6,4227,27,23,84.9,206,37,57,11,86,30,238,2001
49,Titans,515,307,59.6,7.5,3867,23,17,84.2,179,34.8,55,10,71,43,309,2001
50,Packers,510,314,61.6,7.7,3921,32,15,94.1,187,36.7,53,13,67,22,151,2001
