,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
0,Redskins,561,343,61.1,6.9,3892,18,21,77,185,33,43,10,77,32,244,445,1748,3.9,14,8,1,50,98,22,6,32,2000
1,Buccaneers,433,237,54.7,6.5,2824,18,13,76.2,144,33.3,38,5,75,38,241,490,2066,4.2,18,12,2,70,111,22.7,6,43,2000
2,Seahawks,507,308,60.7,6.3,3198,21,21,75.5,168,33.1,26,7,71,46,238,403,1720,4.3,10,8,3,55,98,24.3,18,37,2000
3,49ers,583,366,62.8,7.5,4400,32,10,97,211,36.2,61,9,69,25,161,416,1801,4.3,15,10,1,42,98,23.6,8,49,2000
4,Chargers,578,311,53.8,6.1,3540,19,30,61.8,156,27,41,9,83,53,302,351,1062,3,7,3,0,26,63,17.9,16,31,2000
5,Steelers,439,217,49.4,6.2,2738,12,10,68.9,128,29.2,37,3,77,43,220,527,2248,4.3,19,16,1,45,124,23.5,9,35,2000
6,Cardinals,554,316,57,6.3,3478,16,24,67.4,156,28.2,41,11,70,35,228,343,1278,3.7,6,10,0,29,71,20.7,12,24,2000
7,Eagles,575,331,57.6,5.9,3386,21,15,75.9,182,31.7,46,5,70,45,262,397,1882,4.7,13,11,3,85,88,22.2,9,38,2000
8,Jets,637,352,55.3,6.3,4023,23,29,67.5,192,30.1,50,8,63,20,99,418,1471,3.5,11,8,1,55,84,20.1,7,36,2000
9,Giants,529,311,58.8,6.8,3610,22,13,83.1,195,36.9,46,7,59,28,243,507,2009,4,16,13,3,78,100,19.7,8,39,2000
10,Saints,497,298,60,7.2,3573,22,15,84.2,169,34,42,8,53,39,244,505,2068,4.1,14,7,2,40,117,23.2,13,41,2000
11,Patriots,565,328,58.1,6.1,3461,18,15,75.5,172,30.4,35,5,59,48,280,424,1390,3.3,9,4,0,35,80,18.9,12,28,2000
12,Vikings,495,307,62,8.1,4019,33,18,94.7,193,39,57,13,78,35,187,428,2129,5,14,16,4,72,107,25,10,47,2000
13,Dolphins,421,243,57.7,6.5,2720,15,17,72.2,122,29,32,8,61,28,153,496,1894,3.8,16,10,2,68,104,21,8,34,2000
14,Raiders,475,284,59.8,7.2,3430,28,11,92,177,37.3,42,8,84,28,124,520,2470,4.8,23,20,4,80,128,24.6,8,58,2000
15,Rams,587,380,64.7,9.4,5492,37,23,99.7,247,42.1,79,21,85,44,260,383,1843,4.8,26,8,1,49,112,29.2,3,67,2000
16,Chiefs,582,342,58.8,7.6,4408,29,15,88.5,207,35.6,59,8,81,34,259,383,1465,3.8,12,8,1,69,84,21.9,7,44,2000
17,Jaguars,545,333,61.1,7.2,3947,22,15,85.2,193,35.4,42,11,67,54,289,481,2032,4.2,18,13,2,71,109,22.7,11,40,2000
18,Colts,571,357,62.5,7.7,4413,33,15,94.7,213,37.3,51,8,78,20,131,435,1859,4.3,14,9,0,30,111,25.5,7,50,2000
19,Titans,462,286,61.9,7.4,3430,18,16,83.2,167,36.1,41,6,67,27,164,547,2084,3.8,14,9,0,35,107,19.6,12,38,2000
