,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
0,Redskins,430,1853,4.3,9,18,2,54,97,22.6,7,2000
1,Buccaneers,398,1648,4.1,12,12,1,50,84,21.1,10,2000
2,Seahawks,503,2454,4.9,20,12,6,80,126,25.0,10,2000
3,49ers,435,1794,4.1,22,10,0,31,110,25.3,7,2000
4,Chargers,470,1422,3.0,10,5,1,49,76,16.2,6,2000
5,Steelers,425,1693,4.0,9,13,1,46,82,19.3,10,2000
6,Cardinals,578,2609,4.5,29,12,2,78,149,25.8,7,2000
7,Eagles,453,1830,4.0,10,10,0,37,105,23.2,10,2000
8,Jets,476,1888,4.0,9,9,1,68,98,20.6,10,2000
9,Giants,359,1156,3.2,7,2,1,44,62,17.3,5,2000
10,Saints,395,1672,4.2,14,8,1,47,95,24.1,5,2000
11,Patriots,495,1831,3.7,12,7,0,32,108,21.8,12,2000
12,Vikings,396,1788,4.5,17,7,1,52,110,27.8,3,2000
13,Dolphins,417,1736,4.2,9,7,1,45,92,22.1,8,2000
14,Raiders,383,1551,4.0,8,12,2,53,85,22.2,17,2000
15,Rams,383,1697,4.4,18,11,4,69,95,24.8,3,2000
16,Chiefs,441,1809,4.1,13,14,2,50,103,23.4,14,2000
17,Jaguars,436,1685,3.9,14,8,1,45,85,19.5,10,2000
18,Colts,446,1935,4.3,13,9,1,55,109,24.4,6,2000
19,Titans,387,1390,3.6,7,5,2,80,62,16.0,12,2000
20,Packers,417,1618,3.9,7,8,1,52,84,20.1,6,2000
21,Lions,421,1823,4.3,14,13,3,65,96,22.8,15,2000
22,Broncos,344,1598,4.6,13,19,5,77,80,23.3,12,2000
23,Cowboys,538,2636,4.9,17,13,3,70,137,25.5,9,2000
24,Browns,594,2505,4.2,26,20,0,36,147,24.7,9,2000
25,Bengals,504,1925,3.8,12,7,0,30,101,20.0,12,2000
26,Bears,469,1827,3.9,15,6,2,72,106,22.6,4,2000
27,Panthers,426,1944,4.6,12,14,3,42,107,25.1,13,2000
28,Bills,444,1559,3.5,13,7,0,39,76,17.1,8,2000
29,Ravens,361,970,2.7,5,3,0,33,59,16.3,22,2000
30,Redskins,484,1869,3.9,10,11,2,46,103,21.3,12,2001
31,Buccaneers,415,1702,4.1,8,9,2,63,86,20.7,13,2001
32,Seahawks,427,1721,4.0,9,6,1,57,91,21.3,8,2001
33,49ers,389,1571,4.0,9,8,0,39,89,22.9,9,2001
34,Chargers,449,1504,3.3,10,4,0,26,99,22.0,21,2001
35,Steelers,339,1195,3.5,5,12,0,36,70,20.6,12,2001
36,Cardinals,496,2087,4.2,10,9,1,41,124,25.0,12,2001
37,Eagles,455,1837,4.0,6,10,1,80,88,19.3,17,2001
38,Jets,481,2154,4.5,15,12,2,56,116,24.1,14,2001
