,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
0,Redskins,445,1748,3.9,14,8,1,50,98,22.0,6,2000
1,Buccaneers,490,2066,4.2,18,12,2,70,111,22.7,6,2000
2,Seahawks,403,1720,4.3,10,8,3,55,98,24.3,18,2000
3,49ers,416,1801,4.3,15,10,1,42,98,23.6,8,2000
4,Chargers,351,1062,3.0,7,3,0,26,63,17.9,16,2000
5,Steelers,527,2248,4.3,19,16,1,45,124,23.5,9,2000
6,Cardinals,343,1278,3.7,6,10,0,29,71,20.7,12,2000
7,Eagles,397,1882,4.7,13,11,3,85,88,22.2,9,2000
8,Jets,418,1471,3.5,11,8,1,55,84,20.1,7,2000
9,Giants,507,2009,4.0,16,13,3,78,100,19.7,8,2000
10,Saints,505,2068,4.1,14,7,2,40,117,23.2,13,2000
11,Patriots,424,1390,3.3,9,4,0,35,80,18.9,12,2000
12,Vikings,428,2129,5.0,14,16,4,72,107,25.0,10,2000
13,Dolphins,496,1894,3.8,16,10,2,68,104,21.0,8,2000
14,Raiders,520,2470,4.8,23,20,4,80,128,24.6,8,2000
15,Rams,383,1843,4.8,26,8,1,49,112,29.2,3,2000
16,Chiefs,383,1465,3.8,12,8,1,69,84,21.9,7,2000
17,Jaguars,481,2032,4.2,18,13,2,71,109,22.7,11,2000
18,Colts,435,1859,4.3,14,9,0,30,111,25.5,7,2000
19,Titans,547,2084,3.8,14,9,0,35,107,19.6,12,2000
20,Packers,404,1643,4.1,13,12,0,39,88,21.8,8,2000
21,Lions,448,1747,3.9,15,7,0,34,101,22.5,8,2000
22,Broncos,516,2311,4.5,21,17,3,80,124,24.0,9,2000
23,Cowboys,463,1953,4.2,15,12,1,52,116,25.1,12,2000
24,Browns,336,1085,3.2,7,2,1,42,53,15.8,5,2000
25,Bengals,495,2314,4.7,13,19,6,80,119,24.0,12,2000
26,Bears,417,1736,4.2,6,10,1,52,89,21.3,12,2000
27,Panthers,363,1186,3.3,7,6,2,43,63,17.4,3,2000
28,Bills,475,1922,4.0,11,10,1,59,111,23.4,9,2000
29,Ravens,511,2199,4.3,9,11,1,45,116,22.7,8,2000
30,Redskins,490,1948,4.0,10,9,0,32,104,21.2,19,2001
31,Buccaneers,407,1371,3.4,17,6,0,39,84,20.6,3,2001
32,Seahawks,469,1936,4.1,15,9,5,88,107,22.8,9,2001
33,49ers,509,2244,4.4,16,11,1,43,121,23.8,10,2001
34,Chargers,435,1695,3.9,13,9,2,67,92,21.1,10,2001
35,Steelers,580,2774,4.8,17,25,6,48,148,25.5,16,2001
36,Cardinals,400,1449,3.6,10,9,1,42,77,19.3,14,2001
37,Eagles,412,1778,4.3,6,9,2,48,90,21.8,6,2001
38,Jets,445,2054,4.6,11,14,2,47,105,23.6,10,2001
39,Giants,424,1777,4.2,11,14,2,61,93,21.9,19,2001
40,Saints,419,1712,4.1,8,4,2,54,87,20.8,16,2001
41,Patriots,473,1793,3.8,15,10,2,44,101,21.4,12,2001
42,Vikings,376,1609,4.3,10,7,0,34,88,23.4,11,2001
43,Dolphins,473,1664,3.5,14,5,1,56,95,20.1,8,2001
44,Raiders,450,1654,3.7,14,5,0,38,102,22.7,9,2001
45,Rams,416,2027,4.9,20,14,6,71,104,25.0,11,2001
46,Chiefs,448,2008,4.5,16,11,1,41,119,26.6,7,2001
47,Jaguars,372,1600,4.3,11,13,1,54,85,22.8,8,2001
48,Colts,438,1966,4.5,16,12,2,77,110,25.1,10,2001
