,Team,FR_TD,SFTY,INT_TD,Years
0,Redskins,0,1,0,2000
1,Buccaneers,1,1,4,2000
2,Seahawks,2,1,3,2000
3,49ers,0,0,2,2000
4,Chargers,0,1,4,2000
5,Steelers,2,1,0,2000
6,Cardinals,1,0,0,2000
7,Eagles,0,0,2,2000
8,Jets,0,0,1,2000
9,Giants,0,0,0,2000
10,Saints,1,0,4,2000
11,Patriots,0,0,0,2000
12,Vikings,0,0,0,2000
13,Dolphins,2,1,0,2000
14,Raiders,1,2,4,2000
15,Rams,1,0,0,2000
16,Chiefs,0,0,2,2000
17,Jaguars,0,0,0,2000
18,Colts,1,2,2,2000
19,Titans,1,0,4,2000
20,Packers,0,1,1,2000
21,Lions,0,0,2,2000
22,Broncos,2,1,5,2000
23,Cowboys,0,1,0,2000
24,Browns,0,0,1,2000
25,Bengals,0,1,1,2000
26,Bears,0,0,4,2000
27,Panthers,0,0,2,2000
28,Bills,0,0,1,2000
29,Ravens,0,1,1,2000
30,Redskins,0,1,1,2001
31,Buccaneers,0,0,2,2001
32,Seahawks,1,1,2,2001
33,49ers,1,0,2,2001
34,Chargers,2,0,1,2001
35,Steelers,3,0,2,2001
36,Cardinals,2,0,3,2001
37,Eagles,2,0,2,2001
38,Jets,2,0,2,2001
39,Giants,1,0,1,2001
40,Saints,1,1,0,2001
41,Patriots,0,0,5,2001
42,Vikings,1,0,1,2001
43,Dolphins,1,0,5,2001
44,Raiders,1,0,2,2001
45,Rams,1,0,4,2001
46,Chiefs,0,1,1,2001
47,Jaguars,2,2,0,2001
48,Colts,1,0,1,2001
49,Titans,1,1,0,2001
50,Packers,1,1,2,2001
51,Lions,1,0,3,2001
52,Broncos,0,0,1,2001
53,Cowboys,0,0,3,2001
54,Browns,1,1,4,2001
55,Bengals,1,0,1,2001
56,Bears,2,1,3,2001
57,Panthers,1,0,1,2001
58,Bills,0,0,3,2001
59,Ravens,1,0,1,2001
60,Redskins,1,1,1,2002
61,Buccaneers,1,2,4,2002
62,Seahawks,1,0,1,2002
63,49ers,0,0,1,2002
64,Chargers,3,1,1,2002
65,Steelers,0,0,1,2002
66,Cardinals,0,0,2,2002
67,Eagles,1,0,2,2002
68,Jets,0,0,0,2002
69,Giants,1,0,1,2002
70,Saints,2,0,1,2002
71,Patriots,1,0,3,2002
72,Vikings,0,1,1,2002
73,Dolphins,1,0,1,2002
74,Raiders,0,0,3,2002
75,Rams,1,0,0,2002
76,Chiefs,1,0,0,2002
77,Jaguars,0,2,0,2002
78,Colts,0,0,1,2002
79,Texans,1,3,2,2002
80,Titans,1,0,3,2002
81,Packers,0,0,4,2002
82,Lions,2,0,1,2002
83,Broncos,1,1,2,2002
84,Cowboys,0,0,3,2002
85,Browns,0,0,0,2002
86,Bengals,1,0,2,2002
87,Bears,1,0,0,2002
88,Panthers,1,1,1,2002
89,Bills,1,0,1,2002
90,Redskins,0,1,0,2003
91,Buccaneers,1,1,3,2003
92,Seahawks,2,1,0,2003
93,49ers,0,1,1,2003
94,Chargers,0,0,1,2003
95,Steelers,0,0,2,2003
96,Cardinals,0,0,1,2003
97,Eagles,0,1,1,2003
98,Jets,0,1,0,2003
99,Giants,2,0,2,2003
100,Saints,0,1,2,2003
101,Patriots,1,1,5,2003
102,Vikings,0,2,4,2003
103,Dolphins,1,1,2,2003
104,Raiders,0,1,2,2003
105,Rams,2,1,3,2003
106,Chiefs,0,0,3,2003
107,Jaguars,1,0,0,2003
108,Colts,1,0,2,2003
109,Texans,0,0,1,2003
110,Titans,2,1,3,2003
111,Packers,1,0,2,2003
112,Lions,3,0,1,2003
113,Broncos,0,1,1,2003
114,Cowboys,0,2,2,2003
115,Browns,0,0,1,2003
116,Bengals,1,0,0,2003
117,Bears,0,0,1,2003
118,Panthers,0,1,3,2003
119,Bills,1,3,2,2003
120,Redskins,0,0,1,2004
121,Buccaneers,2,0,1,2004
122,Seahawks,0,0,3,2004
123,49ers,2,1,0,2004
124,Chargers,0,1,1,2004
125,Steelers,2,1,3,2004
126,Cardinals,1,1,1,2004
127,Eagles,0,0,2,2004
128,Jets,1,0,2,2004
129,Giants,2,0,0,2004
130,Saints,1,1,0,2004
131,Patriots,3,0,1,2004
132,Vikings,1,0,1,2004
133,Dolphins,1,1,0,2004
134,Raiders,0,1,1,2004
135,Rams,3,0,0,2004
136,Chiefs,1,0,1,2004
137,Jaguars,0,2,0,2004
138,Colts,1,0,2,2004
139,Texans,3,0,2,2004
140,Titans,1,0,1,2004
141,Packers,3,0,2,2004
142,Lions,0,1,1,2004
143,Broncos,0,0,2,2004
144,Cowboys,0,1,0,2004
145,Browns,0,0,1,2004
146,Bengals,1,0,4,2004
147,Bears,1,3,5,2004
148,Panthers,1,0,2,2004
149,Bills,0,1,4,2004
150,Redskins,1,0,1,2005
151,Buccaneers,3,1,0,2005
152,Seahawks,1,0,2,2005
153,49ers,1,0,3,2005
154,Chargers,0,0,2,2005
