,Team,Rsh_TD,Rec_TD,Tot_TD,2-PT,Years
0,Redskins,14,18,32,0,2000
1,Buccaneers,18,18,43,1,2000
2,Seahawks,10,21,37,0,2000
3,49ers,15,32,49,3,2000
4,Chargers,7,19,31,0,2000
5,Steelers,19,12,35,1,2000
6,Cardinals,6,16,24,0,2000
7,Eagles,13,21,38,1,2000
8,Jets,11,23,36,2,2000
9,Giants,16,22,39,0,2000
10,Saints,14,22,41,1,2000
11,Patriots,9,18,28,1,2000
12,Vikings,14,33,47,2,2000
13,Dolphins,16,15,34,0,2000
14,Raiders,23,28,58,1,2000
15,Rams,26,37,67,4,2000
16,Chiefs,12,29,44,0,2000
17,Jaguars,18,22,40,1,2000
18,Colts,14,33,50,2,2000
19,Titans,14,18,38,0,2000
20,Packers,13,21,36,2,2000
21,Lions,15,14,33,4,2000
22,Broncos,21,28,58,2,2000
23,Cowboys,15,14,31,2,2000
24,Browns,7,9,17,0,2000
25,Bengals,13,6,21,0,2000
26,Bears,6,12,22,0,2000
27,Panthers,7,19,31,1,2000
28,Bills,11,20,34,1,2000
29,Ravens,9,20,32,2,2000
30,Redskins,10,13,25,2,2001
31,Buccaneers,17,13,34,3,2001
32,Seahawks,15,15,34,1,2001
33,49ers,16,32,51,1,2001
34,Chargers,13,16,35,0,2001
35,Steelers,17,16,38,0,2001
36,Cardinals,10,18,33,1,2001
37,Eagles,6,27,38,0,2001
38,Jets,11,17,34,0,2001
39,Giants,11,19,32,2,2001
40,Saints,8,27,36,1,2001
41,Patriots,15,21,43,0,2001
42,Vikings,10,23,35,3,2001
43,Dolphins,14,20,41,1,2001
44,Raiders,14,27,46,1,2001
45,Rams,20,37,62,2,2001
46,Chiefs,16,17,34,3,2001
47,Jaguars,11,20,34,1,2001
48,Colts,16,27,47,3,2001
49,Titans,12,23,39,3,2001
50,Packers,11,32,47,1,2001
51,Lions,8,18,30,2,2001
52,Broncos,7,26,35,3,2001
53,Cowboys,8,14,26,0,2001
54,Browns,8,18,31,1,2001
55,Bengals,11,12,25,1,2001
56,Bears,12,20,37,1,2001
57,Panthers,9,12,27,0,2001
58,Bills,9,18,31,1,2001
59,Ravens,11,18,31,1,2001
60,Redskins,10,24,37,1,2002
61,Buccaneers,6,23,35,2,2002
62,Seahawks,17,19,41,1,2002
63,49ers,16,23,41,2,2002
64,Chargers,19,17,40,1,2002
65,Steelers,15,26,43,5,2002
66,Cardinals,10,18,31,1,2002
67,Eagles,15,27,46,3,2002
68,Jets,12,25,41,3,2002
69,Giants,14,19,35,1,2002
70,Saints,16,27,49,4,2002
71,Patriots,9,28,43,3,2002
72,Vikings,26,19,46,1,2002
73,Dolphins,24,18,44,0,2002
74,Raiders,21,26,53,2,2002
75,Rams,11,24,37,0,2002
76,Chiefs,26,27,57,1,2002
77,Jaguars,19,18,38,3,2002
78,Colts,12,27,40,3,2002
79,Texans,6,11,22,2,2002
80,Titans,16,22,42,2,2002
81,Packers,12,29,45,0,2002
82,Lions,9,19,34,1,2002
83,Broncos,21,21,45,0,2002
84,Cowboys,7,14,26,0,2002
85,Browns,10,27,40,2,2002
86,Bengals,13,17,34,0,2002
87,Bears,8,22,31,0,2002
88,Panthers,11,15,30,1,2002
89,Bills,17,24,44,0,2002
90,Redskins,8,21,30,2,2003
91,Buccaneers,5,27,36,1,2003
92,Seahawks,17,27,48,0,2003
93,49ers,16,25,44,1,2003
94,Chargers,16,21,38,2,2003
95,Steelers,10,19,33,1,2003
96,Cardinals,5,18,25,1,2003
97,Eagles,23,17,43,0,2003
98,Jets,8,20,29,1,2003
99,Giants,6,16,26,2,2003
100,Saints,11,25,39,1,2003
101,Patriots,9,23,39,0,2003
102,Vikings,15,32,51,2,2003
103,Dolphins,14,17,35,0,2003
104,Raiders,15,9,29,0,2003
105,Rams,19,23,47,0,2003
106,Chiefs,32,24,63,0,2003
107,Jaguars,13,17,31,0,2003
108,Colts,16,29,48,1,2003
109,Texans,14,14,29,0,2003
110,Titans,11,30,48,3,2003
111,Packers,18,32,53,2,2003
112,Lions,5,17,29,2,2003
113,Broncos,20,19,42,1,2003
114,Cowboys,11,17,31,0,2003
115,Browns,8,17,27,0,2003
116,Bengals,12,26,40,0,2003
117,Bears,13,12,29,2,2003
118,Panthers,9,19,33,0,2003
119,Bills,13,11,27,0,2003
120,Redskins,6,18,26,1,2004
121,Buccaneers,9,24,37,1,2004
122,Seahawks,17,23,43,2,2004
123,49ers,10,16,29,3,2004
